X Y Z VelocityMag Cp CpT  
750 -160 24 1 2 3 
750 -197 24 1.1 2 3
750 -234 24 1.1 2 3 
750 -271 24 1 2 3
880 -160 24 1 2 3
880 -197 24 1.2 2 3
880 -234 24 1 2 3
880 -271 24 1 2 3
1010 -160 24 1.3 2 3 
1010 -197 24 1.5 2 3
1010 -234 24 1.3 2 3
1010 -271 24 1 2 3
1140 -160 24 1 2 3
1140 -197 24 1.1 2 3
1140 -234 24 1 2 3
1140 -271 24 1 2 3
1295 -160 24 1.1 2 3
1295 -197 24 1 2 3
1295 -234 24 1 2 3
1295 -271 24 1 2 3
1380 -160 24 1 2 3
1380 -197 24 1 2 3
1380 -234 24 1 2 3
1380 -271 24 1 2 3
1465 -160 24 1 2 3
1465 -197 24 1 2 3
1465 -240 24 1 2 3
1465 -271 24 1 2 3
1550 -160 24 1 2 3
1550 -197 24 1 2 3
1550 -233 24 1 2 3
1635 -155 24 1 2 3
